G: 1, P: 1, M: 7,PKTLEN: 256, GENER_SPEED: 1836.45, CPU_USAGE: 36.6333, MEM_USAGE: 15.2278, Perfor: 3.29205
G: 1, P: 1, M: 7,PKTLEN: 512, GENER_SPEED: 3796.35, CPU_USAGE: 36.8667, MEM_USAGE: 15.47, Perfor: 6.65643
G: 1, P: 1, M: 7,PKTLEN: 1024, GENER_SPEED: 7310.12, CPU_USAGE: 37.3733, MEM_USAGE: 15.47, Perfor: 12.6437
G: 1, P: 1, M: 7,PKTLEN: 1280, GENER_SPEED: 8898.7, CPU_USAGE: 37.6222, MEM_USAGE: 15.47, Perfor: 15.2895
G: 1, P: 1, M: 7,PKTLEN: 1500, GENER_SPEED: 10676, CPU_USAGE: 37.9656, MEM_USAGE: 15.48, Perfor: 18.1655
G: 1, P: 1, M: 9,PKTLEN: 64, GENER_SPEED: 404.2, CPU_USAGE: 44.6278, MEM_USAGE: 15.1289, Perfor: 0.598664
G: 1, P: 1, M: 9,PKTLEN: 128, GENER_SPEED: 865.225, CPU_USAGE: 44.3867, MEM_USAGE: 17.5011, Perfor: 1.11381
G: 1, P: 1, M: 9,PKTLEN: 256, GENER_SPEED: 1798.22, CPU_USAGE: 44.8789, MEM_USAGE: 19.3567, Perfor: 2.07
G: 1, P: 1, M: 9,PKTLEN: 512, GENER_SPEED: 3436.5, CPU_USAGE: 45.1678, MEM_USAGE: 19.8056, Perfor: 3.84149
G: 1, P: 1, M: 9,PKTLEN: 1024, GENER_SPEED: 7684.4, CPU_USAGE: 45.2378, MEM_USAGE: 19.89, Perfor: 8.54031
G: 1, P: 1, M: 9,PKTLEN: 1280, GENER_SPEED: 8865.58, CPU_USAGE: 44.5689, MEM_USAGE: 19.89, Perfor: 10.0009
G: 1, P: 1, M: 9,PKTLEN: 1500, GENER_SPEED: 11409.4, CPU_USAGE: 44.8244, MEM_USAGE: 19.89, Perfor: 12.7972
G: 1, P: 1, M: 11,PKTLEN: 64, GENER_SPEED: 420.1, CPU_USAGE: 53.09, MEM_USAGE: 18.4011, Perfor: 0.430027
G: 1, P: 1, M: 11,PKTLEN: 128, GENER_SPEED: 1009.48, CPU_USAGE: 53.2044, MEM_USAGE: 20.9567, Perfor: 0.905372
G: 1, P: 1, M: 11,PKTLEN: 256, GENER_SPEED: 1910.3, CPU_USAGE: 53.8367, MEM_USAGE: 23.0467, Perfor: 1.53962
G: 1, P: 1, M: 11,PKTLEN: 512, GENER_SPEED: 3625.85, CPU_USAGE: 53.3811, MEM_USAGE: 23.9178, Perfor: 2.83989
G: 1, P: 1, M: 11,PKTLEN: 1024, GENER_SPEED: 7190.62, CPU_USAGE: 53.6744, MEM_USAGE: 24.2589, Perfor: 5.5224
G: 1, P: 1, M: 11,PKTLEN: 1280, GENER_SPEED: 8719.38, CPU_USAGE: 53.7133, MEM_USAGE: 24.2811, Perfor: 6.68552
G: 1, P: 1, M: 11,PKTLEN: 1500, GENER_SPEED: 8320.48, CPU_USAGE: 54.2689, MEM_USAGE: 24.2867, Perfor: 6.3129
G: 1, P: 1, M: 13,PKTLEN: 64, GENER_SPEED: 459.25, CPU_USAGE: 60.6622, MEM_USAGE: 21.7044, Perfor: 0.348805
G: 1, P: 1, M: 13,PKTLEN: 128, GENER_SPEED: 935.6, CPU_USAGE: 61.0333, MEM_USAGE: 24.4022, Perfor: 0.628195
G: 1, P: 1, M: 13,PKTLEN: 256, GENER_SPEED: 1729.95, CPU_USAGE: 60.5478, MEM_USAGE: 27.2211, Perfor: 1.04961
G: 1, P: 1, M: 13,PKTLEN: 512, GENER_SPEED: 3602.57, CPU_USAGE: 60.7567, MEM_USAGE: 28.2122, Perfor: 2.10175
G: 1, P: 1, M: 13,PKTLEN: 1024, GENER_SPEED: 7056.88, CPU_USAGE: 61.2944, MEM_USAGE: 28.7156, Perfor: 4.00935
G: 1, P: 1, M: 13,PKTLEN: 1280, GENER_SPEED: 8930, CPU_USAGE: 60.6589, MEM_USAGE: 28.73, Perfor: 5.12414
G: 1, P: 1, M: 13,PKTLEN: 1500, GENER_SPEED: 10229.8, CPU_USAGE: 60.4822, MEM_USAGE: 28.73, Perfor: 5.88713
G: 1, P: 1, M: 15,PKTLEN: 64, GENER_SPEED: 437.15, CPU_USAGE: 68.3978, MEM_USAGE: 25.0133, Perfor: 0.255516
G: 1, P: 1, M: 15,PKTLEN: 128, GENER_SPEED: 853.025, CPU_USAGE: 68.2522, MEM_USAGE: 27.6322, Perfor: 0.452303
G: 1, P: 1, M: 15,PKTLEN: 256, GENER_SPEED: 1595.97, CPU_USAGE: 68.2789, MEM_USAGE: 30.6267, Perfor: 0.763199
G: 1, P: 1, M: 15,PKTLEN: 512, GENER_SPEED: 3184.28, CPU_USAGE: 68.2489, MEM_USAGE: 32.4467, Perfor: 1.43795
G: 1, P: 1, M: 15,PKTLEN: 1024, GENER_SPEED: 6482.52, CPU_USAGE: 69.5289, MEM_USAGE: 33.0522, Perfor: 2.82084
G: 1, P: 1, M: 15,PKTLEN: 1280, GENER_SPEED: 8611.98, CPU_USAGE: 68.5222, MEM_USAGE: 33.14, Perfor: 3.79244
G: 1, P: 1, M: 15,PKTLEN: 1500, GENER_SPEED: 9985.15, CPU_USAGE: 68.5078, MEM_USAGE: 33.14, Perfor: 4.39807
G: 2, P: 2, M: 3,PKTLEN: 64, GENER_SPEED: 696.9, CPU_USAGE: 29.76, MEM_USAGE: 5.54111, Perfor: 4.22611
G: 2, P: 2, M: 3,PKTLEN: 128, GENER_SPEED: 1179.6, CPU_USAGE: 29.7411, MEM_USAGE: 6.56222, Perfor: 6.04403
G: 2, P: 2, M: 3,PKTLEN: 256, GENER_SPEED: 2205.05, CPU_USAGE: 30.0344, MEM_USAGE: 6.64, Perfor: 11.0568
G: 2, P: 2, M: 3,PKTLEN: 512, GENER_SPEED: 3755.53, CPU_USAGE: 30.4122, MEM_USAGE: 6.64, Perfor: 18.5975
G: 2, P: 2, M: 3,PKTLEN: 1024, GENER_SPEED: 6177.18, CPU_USAGE: 31.17, MEM_USAGE: 6.65, Perfor: 29.8011
G: 2, P: 2, M: 3,PKTLEN: 1280, GENER_SPEED: 6730.27, CPU_USAGE: 31.3744, MEM_USAGE: 6.65, Perfor: 32.2578
G: 2, P: 2, M: 3,PKTLEN: 1500, GENER_SPEED: 7744.25, CPU_USAGE: 31.4878, MEM_USAGE: 6.65, Perfor: 36.9841
G: 2, P: 2, M: 5,PKTLEN: 64, GENER_SPEED: 740.95, CPU_USAGE: 36.0567, MEM_USAGE: 8.86, Perfor: 2.31937
G: 2, P: 2, M: 5,PKTLEN: 128, GENER_SPEED: 1408.7, CPU_USAGE: 36.4089, MEM_USAGE: 10.7911, Perfor: 3.58546
G: 2, P: 2, M: 5,PKTLEN: 256, GENER_SPEED: 2750.55, CPU_USAGE: 36.52, MEM_USAGE: 11.05, Perfor: 6.81595
G: 2, P: 2, M: 5,PKTLEN: 512, GENER_SPEED: 5004.68, CPU_USAGE: 37.4211, MEM_USAGE: 11.06, Perfor: 12.0922
G: 2, P: 2, M: 5,PKTLEN: 1024, GENER_SPEED: 9435.9, CPU_USAGE: 38.6767, MEM_USAGE: 11.06, Perfor: 22.0586
G: 2, P: 2, M: 5,PKTLEN: 1280, GENER_SPEED: 10651.9, CPU_USAGE: 38.8567, MEM_USAGE: 11.07, Perfor: 24.7636
G: 2, P: 2, M: 5,PKTLEN: 1500, GENER_SPEED: 10944.7, CPU_USAGE: 38.3089, MEM_USAGE: 11.07, Perfor: 25.8081
G: 2, P: 2, M: 7,PKTLEN: 64, GENER_SPEED: 796.375, CPU_USAGE: 43.3111, MEM_USAGE: 12.1767, Perfor: 1.51004
G: 2, P: 2, M: 7,PKTLEN: 128, GENER_SPEED: 1483.9, CPU_USAGE: 43.5567, MEM_USAGE: 14.8333, Perfor: 2.29674
G: 2, P: 2, M: 7,PKTLEN: 256, GENER_SPEED: 2923.57, CPU_USAGE: 43.7289, MEM_USAGE: 15.4089, Perfor: 4.33884
G: 2, P: 2, M: 7,PKTLEN: 512, GENER_SPEED: 5794.75, CPU_USAGE: 44.6522, MEM_USAGE: 15.47, Perfor: 8.38883
G: 2, P: 2, M: 7,PKTLEN: 1024, GENER_SPEED: 10900, CPU_USAGE: 45.8522, MEM_USAGE: 15.48, Perfor: 15.3566
G: 2, P: 2, M: 7,PKTLEN: 1280, GENER_SPEED: 10668.4, CPU_USAGE: 45.6611, MEM_USAGE: 15.48, Perfor: 15.0932
G: 2, P: 2, M: 7,PKTLEN: 1500, GENER_SPEED: 11318.5, CPU_USAGE: 45.5956, MEM_USAGE: 15.49, Perfor: 16.0256
G: 2, P: 2, M: 9,PKTLEN: 64, GENER_SPEED: 812.95, CPU_USAGE: 51.1367, MEM_USAGE: 15.4744, Perfor: 1.02735
G: 2, P: 2, M: 9,PKTLEN: 128, GENER_SPEED: 1565.2, CPU_USAGE: 51.1333, MEM_USAGE: 18.8556, Perfor: 1.6234
G: 2, P: 2, M: 9,PKTLEN: 256, GENER_SPEED: 3322.5, CPU_USAGE: 52.0678, MEM_USAGE: 19.7233, Perfor: 3.23531
G: 2, P: 2, M: 9,PKTLEN: 512, GENER_SPEED: 6125.95, CPU_USAGE: 52.1522, MEM_USAGE: 19.89, Perfor: 5.90563
G: 2, P: 2, M: 9,PKTLEN: 1024, GENER_SPEED: 10330.9, CPU_USAGE: 52.7289, MEM_USAGE: 19.9, Perfor: 9.84547
G: 2, P: 2, M: 9,PKTLEN: 1280, GENER_SPEED: 12546.4, CPU_USAGE: 52.94, MEM_USAGE: 19.9, Perfor: 11.9092
G: 2, P: 2, M: 9,PKTLEN: 1500, GENER_SPEED: 15860.2, CPU_USAGE: 53.4233, MEM_USAGE: 19.9, Perfor: 14.9185
G: 2, P: 2, M: 11,PKTLEN: 64, GENER_SPEED: 744.575, CPU_USAGE: 59.7211, MEM_USAGE: 18.6733, Perfor: 0.667666
G: 2, P: 2, M: 11,PKTLEN: 128, GENER_SPEED: 1376.95, CPU_USAGE: 60.26, MEM_USAGE: 21.7356, Perfor: 1.05128
G: 2, P: 2, M: 11,PKTLEN: 256, GENER_SPEED: 2512.38, CPU_USAGE: 60.0656, MEM_USAGE: 23.4878, Perfor: 1.78081
G: 2, P: 2, M: 11,PKTLEN: 512, GENER_SPEED: 5153.57, CPU_USAGE: 60.7911, MEM_USAGE: 24.1022, Perfor: 3.51732
G: 2, P: 2, M: 11,PKTLEN: 1024, GENER_SPEED: 8788.4, CPU_USAGE: 61.53, MEM_USAGE: 24.2856, Perfor: 5.88131
G: 2, P: 2, M: 11,PKTLEN: 1280, GENER_SPEED: 8914.55, CPU_USAGE: 60.59, MEM_USAGE: 24.2878, Perfor: 6.05774
G: 2, P: 2, M: 11,PKTLEN: 1500, GENER_SPEED: 11028.8, CPU_USAGE: 61.4567, MEM_USAGE: 24.3044, Perfor: 7.3837
G: 2, P: 2, M: 13,PKTLEN: 64, GENER_SPEED: 779.475, CPU_USAGE: 67.0178, MEM_USAGE: 22.0144, Perfor: 0.52833
G: 2, P: 2, M: 13,PKTLEN: 128, GENER_SPEED: 1470.83, CPU_USAGE: 66.4389, MEM_USAGE: 25.7878, Perfor: 0.858471
G: 2, P: 2, M: 13,PKTLEN: 256, GENER_SPEED: 3148.5, CPU_USAGE: 67.0322, MEM_USAGE: 28.0633, Perfor: 1.67371
G: 2, P: 2, M: 13,PKTLEN: 512, GENER_SPEED: 5837.68, CPU_USAGE: 66.7556, MEM_USAGE: 28.6056, Perfor: 3.05704
G: 2, P: 2, M: 13,PKTLEN: 1024, GENER_SPEED: 10376.8, CPU_USAGE: 68.6378, MEM_USAGE: 28.73, Perfor: 5.26217
G: 2, P: 2, M: 13,PKTLEN: 1280, GENER_SPEED: 12937.7, CPU_USAGE: 68.3333, MEM_USAGE: 28.73, Perfor: 6.59006
G: 2, P: 2, M: 13,PKTLEN: 1500, GENER_SPEED: 14845.9, CPU_USAGE: 68.7311, MEM_USAGE: 28.74, Perfor: 7.51565
G: 2, P: 2, M: 15,PKTLEN: 64, GENER_SPEED: 778.25, CPU_USAGE: 75.5178, MEM_USAGE: 25.2522, Perfor: 0.408104
G: 2, P: 2, M: 15,PKTLEN: 128, GENER_SPEED: 1512.42, CPU_USAGE: 74.5178, MEM_USAGE: 29.4389, Perfor: 0.689431
G: 2, P: 2, M: 15,PKTLEN: 256, GENER_SPEED: 3416.8, CPU_USAGE: 74.6544, MEM_USAGE: 32.3367, Perfor: 1.41536
G: 2, P: 2, M: 15,PKTLEN: 512, GENER_SPEED: 6712.3, CPU_USAGE: 74.9, MEM_USAGE: 33.0244, Perfor: 2.71365
G: 2, P: 2, M: 15,PKTLEN: 1024, GENER_SPEED: 12442.2, CPU_USAGE: 75.8656, MEM_USAGE: 33.16, Perfor: 4.94581
G: 2, P: 2, M: 15,PKTLEN: 1280, GENER_SPEED: 13067.8, CPU_USAGE: 76.0556, MEM_USAGE: 33.15, Perfor: 5.18308
G: 2, P: 2, M: 15,PKTLEN: 1500, GENER_SPEED: 15888.6, CPU_USAGE: 75.9678, MEM_USAGE: 33.15, Perfor: 6.30917
G: 3, P: 3, M: 3,PKTLEN: 64, GENER_SPEED: 769.9, CPU_USAGE: 37.2656, MEM_USAGE: 5.61333, Perfor: 3.68049
G: 3, P: 3, M: 3,PKTLEN: 128, GENER_SPEED: 1401.17, CPU_USAGE: 37.73, MEM_USAGE: 6.59333, Perfor: 5.63247
G: 3, P: 3, M: 3,PKTLEN: 256, GENER_SPEED: 2499.07, CPU_USAGE: 37.6067, MEM_USAGE: 6.64, Perfor: 10.0079
G: 3, P: 3, M: 3,PKTLEN: 512, GENER_SPEED: 4138.15, CPU_USAGE: 38.1978, MEM_USAGE: 6.64, Perfor: 16.3155
G: 3, P: 3, M: 3,PKTLEN: 1024, GENER_SPEED: 6253.05, CPU_USAGE: 38.5811, MEM_USAGE: 6.65, Perfor: 24.3723
G: 3, P: 3, M: 3,PKTLEN: 1280, GENER_SPEED: 6517.1, CPU_USAGE: 38.6389, MEM_USAGE: 6.66, Perfor: 25.3253
G: 3, P: 3, M: 3,PKTLEN: 1500, GENER_SPEED: 7269.1, CPU_USAGE: 38.6611, MEM_USAGE: 6.66, Perfor: 28.2314
G: 3, P: 3, M: 5,PKTLEN: 64, GENER_SPEED: 883.975, CPU_USAGE: 43.7644, MEM_USAGE: 8.98222, Perfor: 2.24872
G: 3, P: 3, M: 5,PKTLEN: 128, GENER_SPEED: 1651.28, CPU_USAGE: 44.1633, MEM_USAGE: 10.8522, Perfor: 3.44541
G: 3, P: 3, M: 5,PKTLEN: 256, GENER_SPEED: 3100.68, CPU_USAGE: 44.4878, MEM_USAGE: 11.06, Perfor: 6.30175
G: 3, P: 3, M: 5,PKTLEN: 512, GENER_SPEED: 5680.93, CPU_USAGE: 45.3711, MEM_USAGE: 11.06, Perfor: 11.321
G: 3, P: 3, M: 5,PKTLEN: 1024, GENER_SPEED: 9450.67, CPU_USAGE: 46.4556, MEM_USAGE: 11.07, Perfor: 18.3771
G: 3, P: 3, M: 5,PKTLEN: 1280, GENER_SPEED: 10249.2, CPU_USAGE: 46.3778, MEM_USAGE: 11.07, Perfor: 19.9633
G: 3, P: 3, M: 5,PKTLEN: 1500, GENER_SPEED: 11093.1, CPU_USAGE: 46.45, MEM_USAGE: 11.08, Perfor: 21.554
G: 3, P: 3, M: 7,PKTLEN: 64, GENER_SPEED: 953, CPU_USAGE: 50.9856, MEM_USAGE: 12.3322, Perfor: 1.51567
G: 3, P: 3, M: 7,PKTLEN: 128, GENER_SPEED: 1767.3, CPU_USAGE: 51.0844, MEM_USAGE: 15.0056, Perfor: 2.30552
G: 3, P: 3, M: 7,PKTLEN: 256, GENER_SPEED: 3439.8, CPU_USAGE: 51.6722, MEM_USAGE: 15.4467, Perfor: 4.30964
